Recall,NFS,SU,MacroF1,Acc
-0.99879808,0.5,-0.86518069,-0.99842061,-0.99851013
-0.99801438,0.33333333,-0.62317105,-0.99778818,-0.99791418
-1.,0.15909091,-0.33853602,-1.,-1.
-1.,0.35606061,-0.6571854,-1.,-1.
-0.99879808,0.43181818,-0.76746367,-0.99842061,-0.99851013
-0.99879808,0.40151515,-0.72511023,-0.99842061,-0.99851013
-0.99879808,0.42424242,-0.75735057,-0.99842061,-0.99851013
-1.,0.3030303,-0.57420222,-1.,-1.
-1.,0.23484848,-0.46475577,-1.,-1.
-0.99936777,0.46212121,-0.81294292,-0.99936777,-0.99940405
-0.99975962,0.43939394,-0.78111801,-0.99968393,-0.99970203
-0.99831731,0.54545455,-0.9214578,-0.99778951,-0.99791418
-0.99951923,0.41666667,-0.74885036,-0.99936796,-0.99940405
-1.,0.36363636,-0.66663583,-1.,-1.
-0.99951923,0.48484848,-0.84566546,-0.99936796,-0.99940405
-0.99879808,0.18939394,-0.3893429,-0.99842061,-0.99851013
-0.99762253,0.5,-0.86878763,-0.99747183,-0.99761621
-0.99801438,0.25,-0.49065823,-0.99778818,-0.99791418
-0.99879808,0.4469697,-0.7901291,-0.99842061,-0.99851013
-0.99951923,0.42424242,-0.76040925,-0.99936796,-0.99940405
-0.99840623,0.46212121,-0.81134611,-0.99810444,-0.99821216
-0.99879808,0.38636364,-0.70200123,-0.99842061,-0.99851013
-0.99879808,0.37121212,-0.67802207,-0.99842061,-0.99851013
-0.99960815,0.52272727,-0.87542925,-0.99968384,-0.99970203
-0.99879808,0.37878788,-0.69033165,-0.99842061,-0.99851013
-0.99879808,0.43939394,-0.77913816,-0.99842061,-0.99851013
-0.99879808,0.49242424,-0.85343237,-0.99842061,-0.99851013
-0.99903846,0.47727273,-0.83525109,-0.9987363,-0.9988081
-0.99975962,0.51515152,-0.88522843,-0.99968393,-0.99970203
-0.99879808,0.48484848,-0.84168405,-0.99842061,-0.99851013
-0.998887,0.50757576,-0.87793448,-0.99873591,-0.9988081
-0.99975962,0.46969697,-0.82490109,-0.99968393,-0.99970203
-0.99960815,0.45454545,-0.7985677,-0.99968384,-0.99970203
-0.99879808,0.18181818,-0.37746267,-0.99842061,-0.99851013
-0.99951923,0.50757576,-0.87793448,-0.99936796,-0.99940405
-0.99801438,0.49242424,-0.85703931,-0.99778818,-0.99791418
-1.,0.47727273,-0.83291166,-1.,-1.
-1.,0.41666667,-0.74655587,-1.,-1.
-0.99840623,0.46969697,-0.82260811,-0.99810444,-0.99821216
-0.99975962,0.40909091,-0.73943536,-0.99968393,-0.99970203
-0.99855769,0.53787879,-0.90757234,-0.99810501,-0.99821216
-0.99879808,0.40909091,-0.73690138,-0.99842061,-0.99851013
-0.99677628,0.37878788,-0.69311191,-0.99715278,-0.99731824
-1.,0.28030303,-0.53632027,-1.,-1.
-1.,0.40909091,-0.73690138,-1.,-1.
-1.,0.34090909,-0.6334489,-1.,-1.
-0.99855769,0.56060606,-0.9419785,-0.99810501,-0.99821216
-1.,0.34090909,-0.6334489,-1.,-1.
-0.99840623,0.46969697,-0.82260811,-0.99810444,-0.99821216
-1.,0.18181818,-0.37746267,-1.,-1.
-0.99816584,0.52272727,-0.89502823,-0.99778885,-0.99791418
-1.,0.28030303,-0.53632027,-1.,-1.
