"Generation","Time","cores","pause"
95,80.5036721229553,"3","0.01"
96,81.5169811248779,"3","0.01"
97,82.4533920288086,"3","0.01"
98,83.4134809970856,"3","0.01"
99,84.0668330192566,"3","0.01"
100,84.8308320045471,"3","0.01"
1,11.1913261413574,"3","0.1"
2,15.0941281318665,"3","0.1"
3,18.1940839290619,"3","0.1"
4,21.3824510574341,"3","0.1"
5,24.284038066864,"3","0.1"
6,27.8066189289093,"3","0.1"
7,31.2061769962311,"3","0.1"
8,35.5073959827423,"3","0.1"
9,39.3207759857178,"3","0.1"
10,43.2385981082916,"3","0.1"
11,47.1025071144104,"3","0.1"
12,50.9713521003723,"3","0.1"
13,54.3218419551849,"3","0.1"
14,58.0381059646606,"3","0.1"
15,61.1671769618988,"3","0.1"
16,64.9243519306183,"3","0.1"
17,68.7740459442139,"3","0.1"
18,72.433660030365,"3","0.1"
19,75.4430270195007,"3","0.1"
20,78.9035501480103,"3","0.1"
21,82.2648990154266,"3","0.1"
22,85.3777899742126,"3","0.1"
23,88.7710430622101,"3","0.1"
24,92.035994052887,"3","0.1"
25,95.7848880290985,"3","0.1"
26,99.4026520252228,"3","0.1"
27,103.08526802063,"3","0.1"
28,107.568973064423,"3","0.1"
29,111.08614397049,"3","0.1"
30,114.50207400322,"3","0.1"
31,118.118160009384,"3","0.1"
32,121.714761018753,"3","0.1"
33,124.823497056961,"3","0.1"
34,128.35162115097,"3","0.1"
35,131.545210123062,"3","0.1"
36,134.64342713356,"3","0.1"
37,138.085982084274,"3","0.1"
38,141.861223936081,"3","0.1"
39,145.841084003448,"3","0.1"
40,148.946056127548,"3","0.1"
41,152.509829998016,"3","0.1"
42,155.910768032074,"3","0.1"
43,158.995754957199,"3","0.1"
44,162.428566932678,"3","0.1"
45,165.533419132233,"3","0.1"
46,168.880895137787,"3","0.1"
47,172.637587070465,"3","0.1"
48,176.095662117004,"3","0.1"
49,179.228274106979,"3","0.1"
50,182.662002086639,"3","0.1"
51,186.131775140762,"3","0.1"
52,189.324981927872,"3","0.1"
53,192.516123056412,"3","0.1"
54,195.474570035934,"3","0.1"
55,199.113597154617,"3","0.1"
56,202.2342441082,"3","0.1"
57,205.575864076614,"3","0.1"
58,208.828276157379,"3","0.1"
59,211.946186065674,"3","0.1"
60,215.476175069809,"3","0.1"
61,218.876731157303,"3","0.1"
62,222.043549060822,"3","0.1"
63,225.27703499794,"3","0.1"
64,228.779458045959,"3","0.1"
65,232.19172000885,"3","0.1"
66,235.81317615509,"3","0.1"
67,238.771960020065,"3","0.1"
68,241.875462055206,"3","0.1"
69,245.279251098633,"3","0.1"
70,248.893643140793,"3","0.1"
71,252.07861495018,"3","0.1"
72,255.61178612709,"3","0.1"
73,258.926398038864,"3","0.1"
74,262.454374074936,"3","0.1"
75,265.914385080338,"3","0.1"
76,268.893757104874,"3","0.1"
77,272.107963085175,"3","0.1"
78,275.343794107437,"3","0.1"
79,278.627959012985,"3","0.1"
80,281.993826150894,"3","0.1"
81,285.057084083557,"3","0.1"
82,288.91033411026,"3","0.1"
83,292.943551063538,"3","0.1"
84,296.960466146469,"3","0.1"
85,300.226350069046,"3","0.1"
86,303.992463111877,"3","0.1"
87,307.18635392189,"3","0.1"
88,310.125791072845,"3","0.1"
89,313.883538007736,"3","0.1"
90,316.978546142578,"3","0.1"
91,320.274829149246,"3","0.1"
92,323.62199306488,"3","0.1"
93,327.083312034607,"3","0.1"
94,330.444586038589,"3","0.1"
95,333.774595975876,"3","0.1"
96,337.390879154205,"3","0.1"
97,340.842144012451,"3","0.1"
98,343.890576124191,"3","0.1"
99,347.390928030014,"3","0.1"
100,350.90700507164,"3","0.1"
1,70.1533131599426,"3","1"
2,102.209264993668,"3","1"
3,130.059438943863,"3","1"
4,158.963305950165,"3","1"
5,184.703298091888,"3","1"
6,215.806188106537,"3","1"
7,244.528179168701,"3","1"
8,275.493160009384,"3","1"
9,305.316127061844,"3","1"
10,333.333400011063,"3","1"
11,365.530379056931,"3","1"
12,393.419456005096,"3","1"
13,422.109931945801,"3","1"
14,453.953254938126,"3","1"
15,481.602612018585,"3","1"
16,512.418662071228,"3","1"
17,541.161680936813,"3","1"
18,571.156764984131,"3","1"
19,598.051867008209,"3","1"
20,629.007269144058,"3","1"
21,658.988664150238,"3","1"
22,686.821022033691,"3","1"
23,716.737112045288,"3","1"
24,744.472578048706,"3","1"
25,776.453464031219,"3","1"
26,807.386896133423,"3","1"
27,836.180593013763,"3","1"
28,866.120944976807,"3","1"
29,896.02668595314,"3","1"
30,924.909068107605,"3","1"
31,955.76385307312,"3","1"
32,987.595947027206,"3","1"
33,1015.92196512222,"3","1"
34,1047.73839902878,"3","1"
35,1076.50087308884,"3","1"
36,1104.41487216949,"3","1"
37,1135.24784708023,"3","1"
38,1166.66319608688,"3","1"
39,1199.53749108315,"3","1"
40,1227.26876497269,"3","1"
41,1258.96331000328,"3","1"
42,1289.64892196655,"3","1"
43,1318.99051308632,"3","1"
44,1349.84105300903,"3","1"
45,1377.61904597282,"3","1"
46,1407.43960595131,"3","1"
47,1438.20350003242,"3","1"
48,1469.1549050808,"3","1"
49,1497.05115103722,"3","1"
50,1525.04469704628,"3","1"
51,1556.20726108551,"3","1"
52,1584.98109507561,"3","1"
53,1613.99017214775,"3","1"
54,1640.88776397705,"3","1"
55,1670.77639293671,"3","1"
56,1698.52211713791,"3","1"
57,1728.79730606079,"3","1"
58,1757.57870602608,"3","1"
59,1785.4291100502,"3","1"
60,1817.25465512276,"3","1"
61,1845.07715797424,"3","1"
62,1873.88742995262,"3","1"
63,1902.73111796379,"3","1"
64,1934.41597008705,"3","1"
65,1965.0921690464,"3","1"
66,1996.83681297302,"3","1"
67,2023.53448700905,"3","1"
68,2051.2273709774,"3","1"
69,2081.27799296379,"3","1"
70,2112.34601712227,"3","1"
71,2138.99491500854,"3","1"
72,2168.76814413071,"3","1"
73,2197.57537508011,"3","1"
74,2229.31893706322,"3","1"
75,2261.27126598358,"3","1"
76,2288.01973700523,"3","1"
77,2316.78855514526,"3","1"
78,2345.73449707031,"3","1"
79,2373.55520606041,"3","1"
80,2402.62475299835,"3","1"
81,2428.38878798485,"3","1"
82,2458.28056907654,"3","1"
83,2490.29752612114,"3","1"
84,2522.18246507645,"3","1"
85,2549.98457813263,"3","1"
86,2581.99107193947,"3","1"
87,2610.81278800964,"3","1"
88,2637.56940197945,"3","1"
89,2666.29054999352,"3","1"
90,2694.37462711334,"3","1"
91,2724.27108001709,"3","1"
92,2758.61594104767,"3","1"
93,2789.45558309555,"3","1"
94,2818.15383505821,"3","1"
95,2847.86645007133,"3","1"
96,2879.81437110901,"3","1"
97,2906.53374814987,"3","1"
98,2932.22297310829,"3","1"
99,2962.02426695824,"3","1"
100,2992.31035399437,"3","1"
1,137.246698141098,"3","2"
2,196.780438184738,"3","2"
3,257.941797018051,"3","2"
4,319.105581998825,"3","2"
5,378.348719120026,"3","2"
6,435.807933092117,"3","2"
7,490.900921106339,"3","2"
8,552.209570169449,"3","2"
9,605.410370111465,"3","2"
10,660.426728963852,"3","2"
11,721.586650133133,"3","2"
12,780.77280497551,"3","2"
13,844.069391012192,"3","2"
14,909.550173997879,"3","2"
15,970.792837142944,"3","2"
16,1025.93294405937,"3","2"
17,1089.28188705444,"3","2"
18,1151.21313118935,"3","2"
19,1208.31217217445,"3","2"
20,1263.41425800323,"3","2"
21,1320.53381609917,"3","2"
22,1377.61761403084,"3","2"
23,1430.68136906624,"3","2"
24,1492.20818901062,"3","2"
25,1553.42022514343,"3","2"
26,1610.73385000229,"3","2"
27,1669.90594601631,"3","2"
28,1731.15821218491,"3","2"
29,1792.32011008263,"3","2"
30,1855.87242913246,"3","2"
31,1917.15419197083,"3","2"
32,1970.21459102631,"3","2"
33,2033.42909598351,"3","2"
34,2094.52523303032,"3","2"
35,2151.69084596634,"3","2"
36,2205.15109419823,"3","2"
37,2262.2477850914,"3","2"
38,2319.34578108788,"3","2"
39,2374.40683412552,"3","2"
40,2437.3008890152,"3","2"
41,2494.34474396706,"3","2"
42,2555.41716313362,"3","2"
43,2608.40964198112,"3","2"
44,2663.57909417152,"3","2"
45,2724.94065713882,"3","2"
46,2782.31841611862,"3","2"
47,2839.62632107735,"3","2"
48,2896.68538498878,"3","2"
49,2958.58465409279,"3","2"
50,3014.0015411377,"3","2"
51,3075.24718213081,"3","2"
52,3134.59399819374,"3","2"
53,3195.98789715767,"3","2"
54,3257.13171815872,"3","2"
55,3314.57855510712,"3","2"
56,3369.90143203735,"3","2"
57,3427.36405014992,"3","2"
58,3487.03097510338,"3","2"
59,3541.97798204422,"3","2"
